"filename", "language", "Properties", "pip requirements", "Python", "XML", "JavaScript", "Markdown", "JSON", "HTML", "JavaScript JSX", "PostCSS", "Log", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\ai_schemas.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 40
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\equipos.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\horarios.py", "Python", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 182
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\metricas_usuario.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\reservas.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 101
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\rutina.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\schemas\users.py", "Python", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 123
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\test_original_api.py", "Python", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 14, 40, 208
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\utils\__init.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\utils\fechas.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\utils\security.py", "Python", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 70
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\app\verify_dataset_path.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 94
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Backend\requirements.txt", "pip requirements", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\README.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3328, 0, 0, 0, 0, 0, 1, 3329
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\public\portada.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 12, 11, 109
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 6, 14, 132
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\IntegratedLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 320, 0, 0, 24, 37, 381
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\IntegratedLayoutCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 407, 0, 0, 33, 43, 483
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\IntegratedLayoutEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 0, 24, 38, 377
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 4, 24
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 7, 15, 93
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 16, 20, 185
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\AdminEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\AdminEntrenadorCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\SoloAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\SoloCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\Boton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\BotonAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 26
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\InputAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\SelectAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\Selector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\SelectorFecha.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\SelectorHora.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\Etiqueta.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\TablaDatos.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\Tarjeta.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
