"filename", "language", "Properties", "JavaScript", "HTML", "XML", "PostCSS", "JavaScript JSX", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\IntegratedLayoutCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 407, 0, 0, 33, 43, 483
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\IntegratedLayoutEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 315, 0, 0, 24, 38, 377
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 1, 4, 24
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 7, 15, 93
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 149, 0, 0, 16, 20, 185
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\AdminEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\AdminEntrenadorCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\SoloAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\restringidos\SoloCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\Boton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\BotonAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 26
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\InputAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\SelectAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\componentes\ui\ControlesFormulario\Selector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
